"[30, 112]","[40, 77]","[50, 73]","[60, 91]"
"[30, 111]","[40, 78]","[50, 74]","[60, 91]"
"[30, 112]","[40, 81]","[50, 73]","[60, 91]"
"[30, 112]","[40, 78]","[50, 72]","[60, 89]"
"[30, 112]","[40, 80]","[50, 71]","[60, 89]"
"[30, 116]","[40, 79]","[50, 71]","[60, 90]"
"[30, 111]","[40, 80]","[50, 70]","[60, 87]"
"[30, 110]","[40, 78]","[50, 71]","[60, 89]"
"[30, 112]","[40, 79]","[50, 69]","[60, 93]"
"[30, 111]","[40, 77]","[50, 71]","[60, 89]"
"[30, 109]","[40, 76]","[50, 70]","[60, 91]"
"[30, 111]","[40, 77]","[50, 72]","[60, 93]"
"[30, 108]","[40, 77]","[50, 70]","[60, 91]"
"[30, 109]","[40, 80]","[50, 70]","[60, 89]"
"[30, 112]","[40, 75]","[50, 72]","[60, 95]"
"[30, 111]","[40, 80]","[50, 70]","[60, 91]"
"[30, 110]","[40, 74]","[50, 72]","[60, 91]"
"[30, 116]","[40, 77]","[50, 70]","[60, 90]"
"[30, 109]","[40, 82]","[50, 70]","[60, 90]"
"[30, 107]","[40, 78]","[50, 71]","[60, 94]"
"[30, 110]","[40, 77]","[50, 69]","[60, 89]"
"[30, 107]","[40, 78]","[50, 73]","[60, 91]"
"[30, 112]","[40, 75]","[50, 75]","[60, 91]"
"[30, 113]","[40, 76]","[50, 75]","[60, 88]"
"[30, 110]","[40, 75]","[50, 73]","[60, 93]"
"[30, 109]","[40, 78]","[50, 75]","[60, 88]"
"[30, 109]","[40, 78]","[50, 75]","[60, 93]"
"[30, 118]","[40, 79]","[50, 73]","[60, 88]"
"[30, 110]","[40, 77]","[50, 73]","[60, 90]"
"[30, 112]","[40, 77]","[50, 74]","[60, 92]"
"[30, 106]","[40, 79]","[50, 74]","[60, 90]"
"[30, 112]","[40, 78]","[50, 74]","[60, 93]"
"[30, 108]","[40, 74]","[50, 75]","[60, 89]"
"[30, 111]","[40, 79]","[50, 73]","[60, 88]"
"[30, 110]","[40, 80]","[50, 76]","[60, 92]"
"[30, 111]","[40, 79]","[50, 74]","[60, 88]"
"[30, 114]","[40, 80]","[50, 74]","[60, 92]"
"[30, 114]","[40, 77]","[50, 74]","[60, 90]"
"[30, 110]","[40, 76]","[50, 73]","[60, 92]"
"[30, 115]","[40, 78]","[50, 73]","[60, 93]"
"[30, 108]","[40, 79]","[50, 73]","[60, 89]"
"[30, 109]","[40, 78]","[50, 75]","[60, 90]"
"[30, 111]","[40, 78]","[50, 75]","[60, 90]"
"[30, 113]","[40, 77]","[50, 72]","[60, 88]"
"[30, 112]","[40, 78]","[50, 72]","[60, 89]"
"[30, 117]","[40, 75]","[50, 75]","[60, 94]"
"[30, 105]","[40, 78]","[50, 73]","[60, 91]"
"[30, 113]","[40, 77]","[50, 75]","[60, 91]"
"[30, 110]","[40, 79]","[50, 74]","[60, 91]"
"[30, 110]","[40, 77]","[50, 73]","[60, 90]"
"[30, 110]","[40, 78]","[50, 74]","[60, 87]"
"[30, 108]","[40, 78]","[50, 77]","[60, 90]"
"[30, 110]","[40, 78]","[50, 74]","[60, 92]"
"[30, 113]","[40, 79]","[50, 74]","[60, 91]"
"[30, 110]","[40, 78]","[50, 74]","[60, 89]"
"[30, 114]","[40, 75]","[50, 75]","[60, 90]"
"[30, 109]","[40, 79]","[50, 72]","[60, 91]"
"[30, 110]","[40, 75]","[50, 73]","[60, 92]"
"[30, 110]","[40, 79]","[50, 73]","[60, 91]"
"[30, 107]","[40, 77]","[50, 72]","[60, 88]"
"[30, 114]","[40, 78]","[50, 74]","[60, 88]"
"[30, 111]","[40, 77]","[50, 72]","[60, 90]"
"[30, 112]","[40, 80]","[50, 74]","[60, 90]"
"[30, 108]","[40, 76]","[50, 74]","[60, 90]"
"[30, 113]","[40, 77]","[50, 73]","[60, 87]"
"[30, 105]","[40, 76]","[50, 74]","[60, 90]"
"[30, 102]","[40, 77]","[50, 72]","[60, 91]"
"[30, 107]","[40, 78]","[50, 73]","[60, 92]"
"[30, 113]","[40, 79]","[50, 72]","[60, 92]"
"[30, 109]","[40, 75]","[50, 74]","[60, 92]"
"[30, 114]","[40, 76]","[50, 73]","[60, 89]"
"[30, 112]","[40, 76]","[50, 72]","[60, 91]"
"[30, 109]","[40, 76]","[50, 74]","[60, 90]"
"[30, 113]","[40, 80]","[50, 75]","[60, 92]"
"[30, 111]","[40, 77]","[50, 76]","[60, 91]"
"[30, 113]","[40, 77]","[50, 74]","[60, 93]"
"[30, 111]","[40, 76]","[50, 72]","[60, 92]"
"[30, 108]","[40, 78]","[50, 75]","[60, 92]"
"[30, 112]","[40, 77]","[50, 74]","[60, 91]"
"[30, 108]","[40, 75]","[50, 75]","[60, 90]"
"[30, 116]","[40, 79]","[50, 72]","[60, 91]"
"[30, 112]","[40, 78]","[50, 73]","[60, 92]"
"[30, 111]","[40, 78]","[50, 74]","[60, 90]"
"[30, 113]","[40, 78]","[50, 71]","[60, 89]"
"[30, 109]","[40, 79]","[50, 74]","[60, 88]"
"[30, 115]","[40, 78]","[50, 76]","[60, 89]"
"[30, 112]","[40, 78]","[50, 73]","[60, 94]"
"[30, 113]","[40, 77]","[50, 72]","[60, 89]"
"[30, 113]","[40, 77]","[50, 74]","[60, 91]"
"[30, 106]","[40, 76]","[50, 74]","[60, 89]"
"[30, 116]","[40, 76]","[50, 72]","[60, 93]"
"[30, 118]","[40, 77]","[50, 75]","[60, 91]"
"[30, 110]","[40, 76]","[50, 74]","[60, 90]"
"[30, 109]","[40, 74]","[50, 73]","[60, 92]"
"[30, 109]","[40, 78]","[50, 75]","[60, 90]"
"[30, 108]","[40, 77]","[50, 73]","[60, 89]"
"[30, 111]","[40, 78]","[50, 71]","[60, 87]"
"[30, 111]","[40, 79]","[50, 72]","[60, 91]"
"[30, 116]","[40, 78]","[50, 73]","[60, 90]"
"[30, 114]","[40, 77]","[50, 75]","[60, 94]"
"[30, 112]","[40, 78]","[50, 75]","[60, 91]"
"[30, 114]","[40, 79]","[50, 74]","[60, 93]"
"[30, 112]","[40, 76]","[50, 74]","[60, 89]"
