"[44.19127869037442, 175.74039611420514]"
"[49.41430695152921, 177.13397641987225]"
"[49.0949172569555, 178.1164834229149]"
"[54.6225549787114, 183.37116888091117]"
"[49.32959533223957, 177.1288948296483]"
"[44.52662582691621, 171.75440995360546]"
"[44.465688785354985, 174.76094434462277]"
"[49.52821279704029, 173.133602090894]"
"[49.23534584426139, 180.12863383109]"
"[44.698981123692214, 164.7409521678382]"
"[49.403984441366724, 174.1279040100623]"
"[44.15349562659738, 177.74501624322122]"
"[49.52821279704029, 173.133602090894]"
"[49.642835092845516, 168.1312928694323]"
"[54.7160660341012, 174.36995831072238]"
"[49.55738943248087, 168.12600745787464]"
"[49.29582292518477, 174.12128852580844]"
"[49.443393823985524, 173.12845108410423]"
"[49.34324522435668, 175.12605769104127]"
"[54.78186562684363, 176.37282568095114]"
"[44.15349562659738, 177.74501624322122]"
"[30.0, 177.44999999539144]","[49.37933765676784, 179.13543488644552]"
"[48.97269299608614, 180.11274531792264]"
"[49.269462884012825, 178.1270843556499]"
"[49.32566328075706, 176.1268322375918]"
"[49.045225222741124, 181.11900896816016]"
"[43.92279053806272, 182.74415403912118]"
"[49.4400912395351, 172.1263804021947]"
"[49.11083795072823, 181.1229655480135]"
"[58.7739667296544, 195.12733966349123]"
"[49.4829574467321, 172.12900510392024]"
"[44.4168020180515, 173.7526011583225]"
"[49.11083795072823, 181.1229655480135]"
"[30.0, 176.44999998573857]","[49.31620624063127, 179.1316809370201]"
"[49.22634426060371, 178.12448131102025]"
"[49.30413168449492, 176.12552597767916]"
"[43.922501661137844, 178.72833161754704]"
"[49.1610251110088, 178.12051852054555]"
"[49.190348480136144, 175.1166866225443]"
"[49.347090441710634, 176.12812954779807]"
"[53.185386514883476, 190.71017611942457]"
"[49.27371263805636, 179.12914129037947]"
"[49.22634426060371, 178.12448131102025]"
"[49.13759977068048, 182.12635905233773]"
"[49.312216210695944, 178.12965439974627]"
"[43.72634227563354, 181.72278456861983]"
"[54.52347011265368, 182.3677880525137]"
"[49.19713491610053, 181.1281331158373]"
"[49.347090441710634, 176.12812954779807]"
"[49.15416761615186, 181.12556533843974]"
"[49.22634426060371, 178.12448131102025]"
"[44.195692967052565, 176.74480581028317]"
"[44.430853228271694, 170.74162974794214]"
"[44.61827819826633, 171.7626418238352]"
"[49.19245087802389, 180.12606524567676]"
"[49.07806100791, 183.12458530869168]"
"[54.49947131500119, 185.36840825932813]"
"[30.0, 173.44999998573857]","[49.308184297579366, 177.12760246394677]"
"[43.89324886219761, 181.73765451036547]"
"[43.92850189122972, 179.73288359864748]"
"[49.006924126547844, 182.11851860412426]"
"[43.94043633486592, 177.72589178459137]"
"[30.0, 175.44999998573857]","[49.41430695152921, 177.13397641987225]"
"[54.56461821287411, 179.36766465686526]"
"[54.6251801639196, 177.3685818039578]"
"[54.64567371453206, 179.37010255325788]"
"[30.0, 170.44999998573857]","[49.35836478262456, 179.13419045480572]"
"[44.06981169330673, 179.74546336544083]"
"[54.64354361564714, 178.36959066598166]"
