"[30, 149]","[40, 132]","[50, 131]","[60, 142]","[70, 175]"
"[30, 144]","[40, 131]","[50, 134]","[60, 139]","[70, 178]"
"[30, 150]","[40, 133]","[50, 131]","[60, 141]","[70, 174]"
"[30, 145]","[40, 134]","[50, 128]","[60, 141]","[70, 177]"
"[30, 151]","[40, 133]","[50, 130]","[60, 140]","[70, 177]"
"[30, 146]","[40, 135]","[50, 130]","[60, 141]","[70, 171]"
"[30, 145]","[40, 132]","[50, 127]","[60, 137]","[70, 180]"
"[30, 150]","[40, 134]","[50, 129]","[60, 139]","[70, 176]"
"[30, 154]","[40, 136]","[50, 132]","[60, 137]","[70, 178]"
"[30, 148]","[40, 131]","[50, 129]","[60, 139]","[70, 176]"
"[30, 154]","[40, 132]","[50, 131]","[60, 141]","[70, 175]"
"[30, 147]","[40, 136]","[50, 130]","[60, 142]","[70, 175]"
"[30, 145]","[40, 135]","[50, 127]","[60, 139]","[70, 171]"
"[30, 145]","[40, 130]","[50, 133]","[60, 139]","[70, 176]"
"[30, 148]","[40, 130]","[50, 130]","[60, 137]","[70, 179]"
"[30, 146]","[40, 128]","[50, 128]","[60, 139]","[70, 176]"
"[30, 144]","[40, 132]","[50, 130]","[60, 143]","[70, 172]"
"[30, 148]","[40, 136]","[50, 131]","[60, 141]","[70, 168]"
"[30, 147]","[40, 137]","[50, 128]","[60, 141]","[70, 174]"
"[30, 137]","[40, 137]","[50, 129]","[60, 142]","[70, 175]"
"[30, 143]","[40, 131]","[50, 130]","[60, 140]"
"[30, 146]","[40, 132]","[50, 130]","[60, 142]","[70, 177]"
"[30, 149]","[40, 136]","[50, 135]","[60, 138]","[70, 176]"
"[30, 146]","[40, 132]","[50, 129]","[60, 141]","[70, 175]"
"[30, 141]","[40, 134]","[50, 133]","[60, 137]","[70, 177]"
"[30, 146]","[40, 135]","[50, 130]","[60, 137]","[70, 178]"
"[30, 151]","[40, 137]","[50, 131]","[60, 141]","[70, 174]"
"[30, 146]","[40, 131]","[50, 130]","[60, 141]","[70, 172]"
"[30, 147]","[40, 134]","[50, 131]","[60, 141]","[70, 172]"
"[30, 145]","[40, 134]","[50, 129]","[60, 143]","[70, 172]"
"[30, 150]","[40, 130]","[50, 129]","[60, 139]","[70, 182]"
"[30, 144]","[40, 133]","[50, 131]","[60, 139]","[70, 173]"
"[30, 151]","[40, 132]","[50, 128]","[60, 142]","[70, 174]"
"[30, 147]","[40, 132]","[50, 131]","[60, 139]","[70, 180]"
"[30, 151]","[40, 132]","[50, 131]","[60, 140]","[70, 175]"
"[30, 143]","[40, 133]","[50, 130]","[60, 146]","[70, 173]"
"[30, 150]","[40, 129]","[50, 124]","[60, 136]","[70, 170]"
"[30, 147]","[40, 134]","[50, 132]","[60, 139]","[70, 170]"
"[30, 149]","[40, 133]","[50, 126]","[60, 142]","[70, 170]"
"[30, 151]","[40, 131]","[50, 131]","[60, 136]","[70, 171]"
"[30, 149]","[40, 132]","[50, 129]","[60, 141]","[70, 174]"
"[30, 147]","[40, 134]","[50, 130]","[60, 139]","[70, 180]"
"[30, 147]","[40, 135]","[50, 132]","[60, 143]","[70, 176]"
"[30, 149]","[40, 135]","[50, 130]","[60, 140]","[70, 173]"
"[30, 144]","[40, 131]","[50, 128]","[60, 140]","[70, 175]"
"[30, 150]","[40, 133]","[50, 132]","[60, 136]","[70, 175]"
"[30, 148]","[40, 133]","[50, 137]","[60, 141]","[70, 168]"
"[30, 148]","[40, 134]","[50, 135]","[60, 140]","[70, 173]"
"[30, 144]","[40, 131]","[50, 132]","[60, 141]","[70, 181]"
"[30, 151]","[40, 132]","[50, 130]","[60, 141]","[70, 174]"
"[30, 153]","[40, 133]","[50, 131]","[60, 145]","[70, 172]"
"[30, 151]","[40, 138]","[50, 131]","[60, 136]","[70, 175]"
"[30, 147]","[40, 134]","[50, 128]","[60, 142]","[70, 172]"
"[30, 143]","[40, 136]","[50, 131]","[60, 144]","[70, 175]"
"[30, 149]","[40, 134]","[50, 129]","[60, 138]","[70, 171]"
"[30, 146]","[40, 131]","[50, 131]","[60, 143]","[70, 173]"
"[30, 152]","[40, 132]","[50, 130]","[60, 140]","[70, 172]"
"[30, 147]","[40, 135]","[50, 130]","[60, 137]","[70, 178]"
"[30, 148]","[40, 137]","[50, 131]","[60, 140]","[70, 178]"
"[30, 150]","[40, 130]","[50, 130]","[60, 137]","[70, 172]"
"[30, 151]","[40, 131]","[50, 131]","[60, 138]","[70, 172]"
"[30, 149]","[40, 137]","[50, 126]","[60, 139]","[70, 174]"
"[30, 147]","[40, 134]","[50, 129]","[60, 141]","[70, 173]"
"[30, 144]","[40, 132]","[50, 129]","[60, 138]","[70, 174]"
"[30, 145]","[40, 133]","[50, 129]","[60, 141]","[70, 178]"
"[30, 146]","[40, 132]","[50, 133]","[60, 138]","[70, 176]"
"[30, 149]","[40, 133]","[50, 128]","[60, 139]","[70, 175]"
"[30, 148]","[40, 133]","[50, 126]","[60, 130]","[70, 175]"
"[30, 142]","[40, 130]","[50, 133]","[60, 135]","[70, 173]"
"[30, 145]","[40, 131]","[50, 135]","[60, 139]","[70, 177]"
"[30, 148]","[40, 133]","[50, 129]","[60, 137]","[70, 163]"
"[30, 151]","[40, 130]","[50, 131]","[60, 138]","[70, 175]"
"[30, 148]","[40, 135]","[50, 130]","[60, 143]","[70, 172]"
"[30, 146]","[40, 133]","[50, 131]","[60, 140]","[70, 178]"
"[30, 149]","[40, 133]","[50, 134]","[60, 142]","[70, 174]"
"[30, 142]","[40, 139]","[50, 130]","[60, 142]","[70, 179]"
"[30, 149]","[40, 134]","[50, 128]","[60, 138]","[70, 179]"
"[30, 142]","[40, 134]","[50, 131]","[60, 137]","[70, 180]"
"[30, 143]","[40, 133]","[50, 132]","[60, 142]","[70, 174]"
"[30, 147]","[40, 131]","[50, 127]","[60, 139]","[70, 175]"
"[30, 144]","[40, 133]","[50, 127]","[60, 139]","[70, 176]"
"[30, 145]","[40, 133]","[50, 130]","[60, 136]","[70, 173]"
"[30, 147]","[40, 135]","[50, 132]","[60, 141]","[70, 172]"
"[30, 147]","[40, 130]","[50, 131]","[60, 141]","[70, 176]"
"[30, 149]","[40, 134]","[50, 134]","[60, 139]","[70, 169]"
"[30, 145]","[40, 131]","[50, 129]","[60, 140]","[70, 177]"
"[30, 141]","[40, 131]","[50, 128]","[60, 137]","[70, 174]"
"[30, 148]","[40, 135]","[50, 126]","[60, 140]","[70, 171]"
"[30, 146]","[40, 131]","[50, 132]","[60, 139]","[70, 174]"
"[30, 147]","[40, 131]","[50, 130]","[60, 143]","[70, 174]"
"[30, 148]","[40, 132]","[50, 129]","[60, 142]","[70, 176]"
"[30, 146]","[40, 130]","[50, 128]","[60, 137]","[70, 169]"
"[30, 149]","[40, 132]","[50, 128]","[60, 140]","[70, 178]"
"[30, 151]","[40, 132]","[50, 128]","[60, 145]","[70, 169]"
"[30, 146]","[40, 134]","[50, 126]","[60, 142]","[70, 175]"
"[30, 146]","[40, 131]","[50, 126]","[60, 140]","[70, 172]"
"[30, 147]","[40, 133]","[50, 127]","[60, 141]","[70, 172]"
"[30, 151]","[40, 131]","[50, 130]","[60, 141]","[70, 179]"
"[30, 147]","[40, 131]","[50, 133]","[60, 139]","[70, 167]"
"[30, 145]","[40, 138]","[50, 132]","[60, 140]","[70, 163]"
"[30, 143]","[40, 130]","[50, 131]","[60, 143]","[70, 170]"
"[30, 148]","[40, 136]","[50, 125]","[60, 142]","[70, 177]"
"[30, 145]","[40, 132]","[50, 130]","[60, 143]","[70, 174]"
"[30, 147]","[40, 133]","[50, 130]","[60, 139]","[70, 175]"
"[30, 153]","[40, 134]","[50, 130]","[60, 137]","[70, 172]"
"[30, 145]","[40, 131]","[50, 129]","[60, 141]","[70, 177]"
"[30, 145]","[40, 135]","[50, 130]","[60, 139]","[70, 174]"
"[30, 149]","[40, 139]","[50, 129]","[60, 140]","[70, 172]"
"[30, 146]","[40, 135]","[50, 131]","[60, 140]","[70, 171]"
"[30, 145]","[40, 138]","[50, 133]","[60, 136]","[70, 176]"
"[30, 146]","[40, 136]","[50, 126]","[60, 138]","[70, 173]"
"[30, 138]","[40, 130]","[50, 132]","[60, 142]","[70, 175]"
"[30, 146]","[40, 129]","[50, 132]","[60, 139]","[70, 174]"
"[30, 153]","[40, 129]","[50, 130]","[60, 137]","[70, 176]"
"[30, 146]","[40, 133]","[50, 128]","[60, 144]","[70, 171]"
"[30, 148]","[40, 130]","[50, 130]","[60, 141]","[70, 170]"
"[30, 148]","[40, 133]","[50, 131]","[60, 143]","[70, 180]"
"[30, 147]","[40, 133]","[50, 129]","[60, 136]","[70, 176]"
"[30, 146]","[40, 134]","[50, 131]","[60, 137]","[70, 180]"
"[30, 150]","[40, 134]","[50, 126]","[60, 146]","[70, 178]"
"[30, 147]","[40, 138]","[50, 128]","[60, 139]","[70, 170]"
