"[48.16088260165195, 94.71292265062782]"
"[48.056822777185474, 98.73025383305549]"
"[48.20926576563809, 94.71895856188048]"
"[44.722155643804754, 81.2788216995293]"
"[44.61775201997474, 81.27197491560176]"
"[44.61279170066237, 80.26942434524285]"
"[47.74188955184925, 99.69925390007863]"
"[48.0857362454922, 95.71129998292743]"
"[44.622581968198325, 82.27445457409749]"
"[44.622581968198325, 82.27445457409749]"
"[48.01337630248316, 94.69436910800174]"
"[47.9875661476412, 95.69902785787656]"
"[44.51550965252132, 82.26738669924802]"
"[47.888169115549665, 97.7021291922373]"
"[44.587361519921174, 82.27214504862624]"
"[47.98595397990584, 97.71420161906798]"
"[44.648546472672955, 80.27181598143632]"
"[44.6530037446312, 81.27430177725113]"
"[44.56291462475763, 84.27479221329202]"
"[44.6530037446312, 81.27430177725113]"
"[47.98595397990584, 97.71420161906798]"
"[44.6530037446312, 81.27430177725113]"
"[44.51550965252132, 82.26738669924802]"
"[47.888169115549665, 97.7021291922373]"
"[47.6647302584916, 98.68203291861698]"
"[47.93725267385459, 97.70820252318858]"
"[48.01337630248316, 94.69436910800174]"
"[44.6530037446312, 81.27430177725113]"
"[47.86302037727708, 96.69124177639343]"
"[44.722155643804754, 81.2788216995293]"
"[44.58202755563519, 81.26960116285017]"
"[48.13895416418559, 93.70228434424223]"
"[44.58202755563519, 81.26960116285017]"
"[47.78877542261992, 97.68975614817994]"
"[47.81472451789822, 98.70066679349974]"
"[47.81472451789822, 98.70066679349974]"
"[44.5458281580515, 81.26717977917663]"
"[44.61279170066237, 80.26942434524285]"
"[47.73848834588053, 97.683457324283]"
"[44.58202755563519, 81.26960116285017]"
"[48.009176357078225, 98.72447846203504]"
"[44.55736131599904, 83.27232543947055]"
"[44.61775201997474, 81.27197491560176]"
"[47.6647302584916, 98.68203291861698]"
"[44.622581968198325, 82.27445457409749]"
"[44.61775201997474, 81.27197491560176]"
"[44.51550965252132, 82.26738669924802]"
"[47.888169115549665, 97.7021291922373]"
"[47.81472451789822, 98.70066679349974]"
"[48.011199255025055, 96.7097262765654]"
"[44.74671515228856, 78.27391331000648]"
"[48.20926576563809, 94.71895856188048]"
"[48.182306296277815, 95.72327101936555]"
"[47.66965001813741, 100.69788959760739]"
"[47.93788313893633, 95.69277814622625]"
"[44.61775201997474, 81.27197491560176]"
"[47.9875661476412, 95.69902785787656]"
"[47.5916078025048, 99.68066162845517]"
"[44.587361519921174, 82.27214504862624]"
"[44.58202755563519, 81.26960116285017]"
"[47.61393887778046, 98.67567068939039]"
"[44.622581968198325, 82.27445457409749]"
"[47.9875661476412, 95.69902785787656]"
