"[10, 66]","[20, 22]","[30, 31]","[50, 45]","[60, 22]","[70, 33]"
"[10, 64]","[20, 23]","[30, 28]","[50, 46]","[60, 22]","[70, 33]"
"[10, 62]","[20, 22]","[30, 30]","[50, 44]","[60, 23]","[70, 31]"
"[10, 70]","[20, 23]","[30, 30]","[50, 46]","[60, 23]","[70, 34]"
"[10, 70]","[20, 22]","[30, 29]","[50, 42]","[60, 23]","[70, 33]"
"[10, 69]","[20, 22]","[30, 32]","[50, 50]","[60, 23]","[70, 32]"
"[10, 70]","[20, 23]","[30, 30]","[50, 47]","[60, 22]","[70, 34]"
"[10, 68]","[20, 22]","[30, 31]","[50, 46]","[60, 23]","[70, 34]"
"[10, 69]","[20, 21]","[30, 31]","[50, 50]","[60, 22]","[70, 33]"
"[10, 67]","[20, 23]","[30, 30]","[50, 47]","[60, 23]","[70, 33]"
"[10, 69]","[20, 22]","[30, 29]","[50, 47]","[60, 24]","[70, 31]"
"[10, 67]","[20, 21]","[30, 30]","[50, 42]","[60, 23]","[70, 33]"
"[10, 71]","[20, 23]","[30, 30]","[50, 44]","[60, 24]","[70, 34]"
"[10, 70]","[20, 22]","[30, 28]","[50, 46]","[60, 22]","[70, 34]"
"[10, 67]","[20, 23]","[30, 31]","[50, 44]","[60, 24]","[70, 32]"
"[10, 66]","[20, 23]","[30, 31]","[50, 43]","[60, 26]","[70, 31]"
"[10, 65]","[20, 24]","[30, 28]","[50, 45]","[60, 25]","[70, 30]"
"[10, 73]","[20, 21]","[30, 30]","[50, 44]","[60, 23]","[70, 33]"
"[10, 72]","[20, 22]","[30, 29]","[50, 44]","[60, 24]","[70, 34]"
"[10, 71]","[20, 21]","[30, 31]","[50, 44]","[60, 23]","[70, 32]"
"[10, 67]","[20, 23]","[30, 28]","[50, 48]","[60, 25]","[70, 34]"
"[10, 68]","[20, 21]","[30, 29]","[50, 48]","[60, 22]","[70, 32]"
"[10, 69]","[20, 22]","[30, 29]","[50, 46]","[60, 25]","[70, 33]"
