"[0, 103]","[10, 85]","[20, 78]","[30, 79]","[40, 78]","[50, 78]","[60, 108]"
"[0, 108]","[10, 82]","[20, 74]","[30, 75]","[40, 78]","[50, 77]","[60, 103]"
"[0, 103]","[10, 82]","[20, 74]","[30, 77]","[40, 75]","[50, 79]","[60, 108]"
"[0, 100]","[10, 82]","[20, 73]","[30, 78]","[40, 79]","[50, 77]","[60, 105]"
"[0, 105]","[10, 85]","[20, 72]","[30, 79]","[40, 77]","[50, 80]","[60, 106]"
"[0, 102]","[10, 83]","[20, 74]","[30, 79]","[40, 77]","[50, 78]","[60, 106]"
"[0, 102]","[10, 81]","[20, 76]","[30, 80]","[40, 79]","[50, 78]","[60, 105]"
"[0, 103]","[10, 85]","[20, 74]","[30, 78]","[40, 79]","[50, 75]","[60, 103]"
"[0, 108]","[10, 83]","[20, 72]","[30, 80]","[40, 81]","[50, 77]","[60, 103]"
"[0, 103]","[10, 88]","[20, 72]","[30, 79]","[40, 77]","[50, 78]","[60, 112]"
"[0, 106]","[10, 82]","[20, 71]","[30, 80]","[40, 77]","[50, 76]","[60, 104]"
"[0, 100]","[10, 86]","[20, 74]","[30, 77]","[40, 79]","[50, 78]","[60, 106]"
"[0, 106]","[10, 87]","[20, 75]","[30, 77]","[40, 78]","[50, 75]","[60, 105]"
"[0, 103]","[10, 86]","[20, 74]","[30, 78]","[40, 79]","[50, 78]","[60, 109]"
"[0, 101]","[10, 86]","[20, 74]","[30, 77]","[40, 76]","[50, 79]","[60, 107]"
"[0, 104]","[10, 85]","[20, 74]","[30, 80]","[40, 79]","[50, 78]","[60, 105]"
"[0, 109]","[10, 82]","[20, 75]","[30, 80]","[40, 76]","[50, 78]","[60, 102]"
"[0, 103]","[10, 86]","[20, 71]","[30, 76]","[40, 76]","[50, 79]","[60, 105]"
"[0, 116]","[10, 84]","[20, 74]","[30, 80]","[40, 79]","[50, 75]","[60, 106]"
"[0, 101]","[10, 86]","[20, 74]","[30, 78]","[40, 78]","[50, 79]","[60, 106]"
"[0, 110]","[10, 85]","[20, 75]","[30, 78]","[40, 77]","[50, 78]","[60, 106]"
"[0, 102]","[10, 89]","[20, 74]","[30, 76]","[40, 77]","[50, 78]","[60, 105]"
"[0, 109]","[10, 85]","[20, 74]","[30, 78]","[40, 78]","[50, 78]","[60, 105]"
"[0, 102]","[10, 82]","[20, 74]","[30, 76]","[40, 78]","[50, 79]","[60, 107]"
"[0, 105]","[10, 82]","[20, 74]","[30, 77]","[40, 77]","[50, 75]","[60, 106]"
"[0, 103]","[10, 86]","[20, 74]","[30, 76]","[40, 80]","[50, 78]","[60, 107]"
"[0, 105]","[10, 80]","[20, 73]","[30, 76]","[40, 77]","[50, 77]","[60, 107]"
"[0, 106]","[10, 85]","[20, 72]","[30, 76]","[40, 79]","[50, 77]","[60, 105]"
"[0, 102]","[10, 85]","[20, 74]","[30, 77]","[40, 79]","[50, 76]","[60, 100]"
"[0, 99]","[10, 88]","[20, 74]","[30, 78]","[40, 80]","[50, 75]","[60, 106]"
"[0, 104]","[10, 85]","[20, 75]","[30, 78]","[40, 78]","[50, 75]","[60, 105]"
"[0, 102]","[10, 85]","[20, 73]","[30, 76]","[40, 78]","[50, 78]","[60, 104]"
"[0, 102]","[10, 85]","[20, 73]","[30, 79]","[40, 79]","[50, 77]","[60, 100]"
"[0, 104]","[10, 82]","[20, 76]","[30, 78]","[40, 80]","[50, 77]","[60, 107]"
"[0, 91]","[10, 87]","[20, 74]","[30, 76]","[40, 78]","[50, 78]","[60, 104]"
"[0, 102]","[10, 84]","[20, 76]","[30, 78]","[40, 78]","[50, 75]","[60, 102]"
"[0, 107]","[10, 83]","[20, 74]","[30, 79]","[40, 79]","[50, 76]","[60, 102]"
"[0, 104]","[10, 84]","[20, 73]","[30, 77]","[40, 80]","[50, 78]","[60, 106]"
"[0, 104]","[10, 82]","[20, 75]","[30, 78]","[40, 78]","[50, 78]","[60, 106]"
"[0, 104]","[10, 83]","[20, 72]","[30, 77]","[40, 76]","[50, 78]","[60, 103]"
"[0, 105]","[10, 82]","[20, 76]","[30, 77]","[40, 78]","[50, 78]","[60, 106]"
