"[39.38769330683403, 103.78700806843172]"
"[17.208510127770893, 116.23661423760052]","[68.69381180838128, 111.43136504040608]"
"[17.635565733477755, 114.2822583772234]","[67.64946250442678, 117.34034247013783]"
"[14.987567284282699, 100.33309206520498]","[62.83697633410503, 114.26579823187427]"
"[23.354274108719366, 109.24746126254541]","[73.33711025272342, 115.25168358447068]"
"[17.878263333197555, 111.27232913329034]","[67.66762580580296, 118.36159570509379]"
"[18.452221963579774, 107.30794854470868]","[68.25076773882617, 114.40093177068405]"
"[39.8423243829971, 103.963760938267]"
"[17.768312896080133, 112.27000751631957]","[67.94891102252936, 118.41432335492898]"
"[22.92192827175675, 111.20063202374796]","[73.49296546489724, 115.2741095035492]"
"[17.768312896080133, 112.27000751631957]","[68.38642200175336, 112.39063916161429]"
"[18.239746230470598, 110.32449300610607]","[67.97342985661894, 117.40158712495617]"
"[17.61671511418383, 113.25939723467015]","[67.99835247467831, 116.38870223175516]"
"[24.104892291510993, 106.34258741268506]","[73.17010668837483, 117.24827159383102]"
"[14.876478347990757, 101.32759691645195]","[62.62090167369686, 116.2698907422523]"
"[17.70154837753603, 113.27612979586796]","[68.33030766111902, 114.41602583510975]"
"[17.894694650677533, 112.29496063529912]","[67.96786148484877, 114.34678693371126]"
"[17.465709632566686, 114.2488857492336]","[67.77204259690151, 117.36362474088101]"
"[22.27883532588578, 113.10233842705189]","[73.55566117620806, 117.30296660387303]"
"[22.992997333867056, 110.18858548290127]","[73.45427513195493, 115.26856239108196]"
"[44.220172488662264, 105.55049239065418]"
"[14.802825065184928, 102.32765118491086]","[62.958674983518776, 114.29465970905409]"
"[17.55094807053056, 114.26566662143817]","[67.93344777789244, 117.39407897684285]"
"[14.876914010069493, 100.31647253561603]","[62.35056958672261, 117.23357706710775]"
"[17.42284623420413, 114.24042454666588]","[68.0783785969732, 116.40380295714615]"
"[18.252712849132266, 111.34611711913603]","[67.91775087978002, 116.37343682546077]"
"[17.835884859792248, 111.26389615791638]","[68.15783014007026, 116.41873570190991]"
"[18.073255636689336, 110.29152444421872]","[68.11817981455981, 116.41129180328035]"
"[17.946737789332623, 110.26629642237197]","[68.7330390386824, 111.4388571111458]"
"[17.85272602903635, 112.28669001822031]","[68.36984933064858, 114.42350738016772]"
"[17.336632582695497, 114.22335266881727]","[67.81260847115587, 117.37130067614052]"
"[18.22491478650312, 112.35945956135825]","[68.45936855736265, 115.45780048288454]"
"[23.550640813910693, 108.26603330518907]","[73.36239914683478, 114.24488058877954]"
"[17.70154837753603, 113.27612979586796]","[67.81260847115587, 117.37130067614052]"
"[18.18481106908651, 109.29409893742951]","[68.43753604228097, 113.4185288640413]"
"[22.754940392546956, 111.15983632056285]","[73.1391735248946, 120.27391665523064]"
"[24.02528546206424, 106.32317106188425]","[73.23359042370197, 116.24710875579001]"
"[18.239746230470598, 110.32449300610607]","[68.33030766111902, 114.41602583510975]"
"[14.950861474392164, 100.3275910141491]","[62.91822736207931, 114.28508196818558]"
"[18.239746230470598, 110.32449300610607]","[68.33030766111902, 114.41602583510975]"
"[14.286004508358587, 105.28377736258243]","[63.19892897490805, 114.35123503413764]"
"[18.265507520344656, 112.36731849883316]","[68.0783785969732, 116.40380295714615]"
"[17.768312896080133, 112.27000751631957]","[67.441113861253, 119.33649550985113]"
"[17.725870874321892, 112.2615949545946]","[68.30291741281897, 115.42850234792871]"
"[14.950861474392164, 100.3275910141491]","[62.71645668293563, 117.31926839832056]"
"[23.26308607620372, 108.19537852349593]","[73.4802015664008, 114.26197018988373]"
"[22.796875925920304, 111.17011081230238]","[73.53149206659317, 115.27961909646476]"
"[14.578776540063936, 102.29412670221352]","[63.13837717297109, 112.28158726468561]"
"[23.137987361169685, 108.16439467512014]","[73.10723074305065, 118.24946873573778]"
"[17.336631273031728, 112.18366286894224]","[68.22384842348303, 115.41361151416072]"
"[14.691609688834877, 102.31107322875376]","[62.47359310527595, 117.26252337365403]"
"[17.336632582695497, 114.22335266881727]","[68.65184214628971, 115.49354385906615]"
"[23.304535903779716, 108.20561323090799]","[73.58163960638466, 116.2967751277589]"
"[17.725870874321892, 112.2615949545946]","[68.21042541000602, 117.44580439724636]"
"[23.076004632640366, 110.20889738675734]","[73.37634417303813, 115.25734923632248]"
"[17.750632983779777, 111.2468794668296]","[68.10417830649209, 115.39096798295019]"
"[17.79333208264078, 111.25541061848557]","[68.11817981455981, 116.41129180328035]"
"[18.102216240444235, 112.33561129241969]","[67.60830930161406, 117.33249630244107]"
"[17.27219901563595, 115.22998612845461]","[68.0783785969732, 116.40380295714615]"
"[14.471411448849167, 104.30036163287762]","[61.82977903382058, 120.19293287461711]"
"[17.785753064799323, 113.29267267828399]","[68.44851931411245, 114.43834949487106]"
"[18.322061697083534, 110.34069755438202]","[68.06734451572102, 118.43631674199199]"
"[15.135546161849453, 99.34410340087615]","[62.90570727105158, 113.25414694845445]"
"[17.379815548080252, 114.23191209141523]","[68.26344963235486, 115.42107639283606]"
"[17.86160333589023, 110.24923933429416]","[68.38142000405861, 115.44323063292036]"
"[22.810354209556333, 112.2026104824766]","[73.22465650226792, 118.26618437955007]"
"[22.963362810080252, 111.21071328169249]","[73.71091243170466, 114.29509227385304]"
"[18.061022405326927, 112.32757336160668]","[67.76584799940862, 119.39742462588217]"
"[35.504329148079506, 101.76222881371359]","[84.71227818114573, 116.32988598380422]"
"[47.40214015673753, 109.45284299194026]"
"[23.0046766627936, 111.22074925919743]","[73.63471751063469, 114.28420836726718]"
"[35.48827995955796, 100.70026648315995]","[84.70705932772755, 114.32754387074392]"
"[43.50307240034375, 106.36247826323837]"
"[22.838678052309568, 111.18032689850907]","[73.34048973814018, 118.28255668820765]"
"[36.035787801843455, 99.83053036388979]","[84.68249389622494, 114.32640347422605]"
"[23.476417063128448, 109.27717955510394]","[73.55782013431099, 114.27316916386046]"
"[43.30287304469441, 106.67699299303925]"
"[36.247624548131924, 98.84624382344406]","[84.67659527754032, 112.32392258545664]"
"[23.09603455299105, 108.15396035196659]","[73.22465650226792, 118.26618437955007]"
"[19.592768770208345, 99.90941901378544]","[63.14880714380686, 113.31202917222929]"
"[22.992997333867056, 110.18858548290127]","[73.36509450642208, 117.27609482576136]"
"[14.691609688834877, 102.31107322875376]","[63.03922277765603, 114.3136858524241]"
