"[10, 68]","[20, 21]","[30, 35]","[40, 22]","[50, 28]"
"[10, 64]","[20, 21]","[30, 34]","[40, 22]","[50, 28]"
"[10, 67]","[20, 23]","[30, 32]","[40, 23]","[50, 30]"
"[10, 67]","[20, 21]","[30, 36]","[40, 22]","[50, 30]"
"[10, 66]","[20, 22]","[30, 32]","[40, 21]","[50, 29]"
"[10, 69]","[20, 22]","[30, 33]","[40, 21]","[50, 30]"
"[10, 68]","[20, 22]","[30, 37]","[40, 22]","[50, 31]"
"[10, 71]","[20, 23]","[30, 34]","[40, 21]","[50, 30]"
"[10, 71]","[20, 21]","[30, 34]","[40, 22]","[50, 29]"
"[10, 70]","[20, 22]","[30, 34]","[40, 20]","[50, 28]"
"[10, 70]","[20, 24]","[30, 35]","[40, 22]","[50, 29]"
"[10, 69]","[20, 22]","[30, 33]","[40, 22]","[50, 28]"
"[10, 68]","[20, 21]","[30, 33]","[40, 21]","[50, 27]","[90, 138]"
"[10, 67]","[20, 23]","[30, 33]","[40, 20]","[50, 30]","[90, 155]"
"[10, 67]","[20, 22]","[30, 35]","[40, 20]","[50, 28]"
"[10, 70]","[20, 22]","[30, 32]","[40, 21]","[50, 29]"
"[10, 71]","[20, 21]","[30, 32]","[40, 20]","[50, 27]"
"[10, 66]","[20, 21]","[30, 34]","[40, 21]","[50, 29]"
"[10, 67]","[20, 21]","[30, 33]","[40, 22]","[50, 28]"
"[10, 67]","[20, 23]","[30, 32]","[40, 23]","[50, 29]"
"[10, 69]","[20, 23]","[30, 33]","[40, 21]","[50, 30]"
"[10, 68]","[20, 23]","[30, 35]","[40, 20]","[50, 28]"
"[10, 66]","[20, 21]","[30, 33]","[40, 22]","[50, 30]"
"[10, 64]","[20, 23]","[30, 32]","[40, 21]","[50, 26]"
"[10, 69]","[20, 22]","[30, 33]","[40, 20]","[50, 30]"
"[10, 69]","[20, 22]","[30, 34]","[40, 21]","[50, 29]"
"[10, 75]","[20, 22]","[30, 33]","[40, 21]","[50, 27]","[90, 132]"
"[10, 70]","[20, 22]","[30, 33]","[40, 21]","[50, 29]","[90, 116]"
"[10, 67]","[20, 23]","[30, 33]","[40, 22]","[50, 30]"
"[10, 66]","[20, 22]","[30, 35]","[40, 21]","[50, 28]"
"[10, 67]","[20, 20]","[30, 34]","[40, 20]","[50, 28]"
"[10, 68]","[20, 23]","[30, 35]","[40, 20]","[50, 31]"
"[10, 66]","[20, 23]","[30, 34]","[40, 21]","[50, 30]"
"[10, 70]","[20, 21]","[30, 34]","[40, 22]","[50, 30]"
"[10, 67]","[20, 23]","[30, 32]","[40, 20]","[50, 27]"
"[10, 66]","[20, 22]","[30, 32]","[40, 20]","[50, 27]"
