20,20,0
"[34.20642171718428, 23.753672378603948]","[54.20642171718428, 23.753672378603948]","[30, 24]","[40, 17]","[50, 24]","[60, 17]"
"[45.676040890908794, 19.814809951159848]",[],"[30, 26]","[40, 20]","[50, 20]","[60, 17]"
"[34.070004789339436, 23.71998439204173]","[53.678847036652996, 24.652495497262016]","[30, 23]","[40, 17]","[50, 21]","[60, 18]"
"[33.62077495413442, 23.603135072411106]","[53.77763818184719, 23.64497228399654]","[30, 20]","[40, 17]","[50, 21]","[60, 17]"
"[34.359742917165164, 24.817131170452157]","[53.96946522197335, 24.725192660896532]","[30, 26]","[40, 18]","[50, 23]","[60, 18]"
"[48.611673295973944, 20.4989881435164]",[],"[30, 24]","[40, 19]","[50, 19]","[60, 16]"
"[34.10525749762341, 24.757918070625788]","[54.14259236940509, 21.672408168783292]","[30, 24]","[40, 18]","[50, 22]","[60, 15]"
"[33.82746873094625, 24.690126608813035]","[54.20642171718428, 23.753672378603948]","[30, 22]","[40, 18]","[50, 24]","[60, 17]"
"[33.87363789394216, 25.730724590576326]","[54.10525749762341, 24.757918070625788]","[30, 23]","[40, 19]","[50, 24]","[60, 18]"
"[34.04525808290373, 26.79633457504142]","[53.77763818184719, 23.64497228399654]","[30, 25]","[40, 20]","[50, 21]","[60, 17]"
"[34.10525749762341, 24.757918070625788]","[53.72375097658634, 22.594494861721916]","[30, 24]","[40, 18]","[50, 20]","[60, 16]"
"[34.00871740293551, 25.762512162847027]","[54.20642171718428, 23.753672378603948]","[30, 24]","[40, 19]","[50, 24]","[60, 17]"
"[33.96946522197335, 24.725192660896532]","[53.9272228057624, 23.68383151042286]","[30, 23]","[40, 18]","[50, 22]","[60, 17]"
"[33.74394651774444, 28.77784374186971]","[53.96946522197335, 24.725192660896532]","[30, 24]","[40, 22]","[50, 23]","[60, 18]"
"[33.73250952097089, 25.69671191053286]","[53.678847036652996, 24.652495497262016]","[30, 22]","[40, 19]","[50, 21]","[60, 18]"
"[34.13812216128038, 25.792264233267268]","[53.881683230503974, 22.637771054008937]","[30, 25]","[40, 19]","[50, 21]","[60, 16]"
