20,40,0
"[22.547729366713366, 30.55431469688763]","[59.356901032652225, 39.0246963412779]","[20, 17]","[30, 24]","[50, 61]","[60, 16]","[70, 33]"
"[22.423121853440236, 32.58057037078644]","[59.34993198708654, 37.98524108983638]","[20, 17]","[30, 26]","[50, 58]","[60, 17]","[70, 32]"
"[22.310772487265474, 31.5258351320049]","[58.638517890766494, 40.9013352335668]","[20, 16]","[30, 25]","[50, 57]","[60, 16]","[70, 35]"
"[22.423121853440236, 32.58057037078644]","[58.98455583317135, 38.92123444881836]","[20, 17]","[30, 26]","[50, 58]","[60, 15]","[70, 33]"
"[22.71553466384342, 30.59475570684228]","[58.81000507024987, 39.91098236316466]","[20, 18]","[30, 24]","[50, 58]","[60, 15]","[70, 34]"
"[22.365153577331657, 33.59332701097216]","[58.98455583317135, 38.92123444881836]","[20, 17]","[30, 27]","[50, 57]","[60, 16]","[70, 33]"
"[22.784685148879426, 29.582794588708715]","[59.70713869285574, 38.08358581590591]","[20, 18]","[30, 23]","[50, 63]","[60, 16]","[70, 32]"
"[21.836860197585686, 33.46887583571045]","[59.53711231714104, 40.107736581227556]","[20, 14]","[30, 27]","[50, 64]","[60, 17]","[70, 34]"
"[22.423121853440236, 32.58057037078644]","[59.1738054321756, 38.97429964361307]","[20, 17]","[30, 26]","[50, 59]","[60, 16]","[70, 33]"
"[22.07381604629584, 32.497355354520295]","[59.441449332272875, 38.01078143088814]","[20, 15]","[30, 26]","[50, 60]","[60, 16]","[70, 32]"
"[22.310772487265474, 31.5258351320049]","[58.73537960500909, 40.9281160693593]","[20, 16]","[30, 25]","[50, 58]","[60, 16]","[70, 35]"
"[22.649636297550938, 31.606560296530763]","[58.712232454771176, 39.88344400102553]","[20, 18]","[30, 25]","[50, 57]","[60, 15]","[70, 34]"
"[22.129718997102614, 31.481124130897612]","[58.94226478741422, 42.01938820709642]","[20, 15]","[30, 25]","[50, 62]","[60, 16]","[70, 36]"
"[22.48391534805317, 31.56756357811343]","[59.10742542941508, 41.02870107759345]","[20, 17]","[30, 25]","[50, 62]","[60, 16]","[70, 35]"
"[22.48391534805317, 31.56756357811343]","[59.356901032652225, 39.0246963412779]","[20, 17]","[30, 25]","[50, 62]","[60, 15]","[70, 33]"
"[22.07381604629584, 32.497355354520295]","[59.62001803284728, 38.05993268585167]","[20, 15]","[30, 26]","[50, 62]","[60, 16]","[70, 32]"
"[22.37225473341619, 30.510981647729988]","[58.924411739946805, 40.979676015570085]","[20, 16]","[30, 24]","[50, 60]","[60, 16]","[70, 35]"
"[22.020672181701322, 33.51317387038024]","[59.28469044524187, 41.07535379034733]","[20, 15]","[30, 27]","[50, 64]","[60, 16]","[70, 35]"
"[22.07381604629584, 32.497355354520295]","[59.000741180244425, 39.9639700879025]","[20, 15]","[30, 26]","[50, 61]","[60, 14]","[70, 34]"
"[22.31622843947473, 28.42995271327243]","[59.06601217921974, 37.904490541829595]","[20, 15]","[30, 22]","[50, 57]","[60, 15]","[70, 32]"
"[21.996184885018117, 30.414493748656803]","[59.356901032652225, 39.0246963412779]","[20, 14]","[30, 24]","[50, 61]","[60, 16]","[70, 33]"
"[22.129718997102614, 31.481124130897612]","[59.196761032238, 41.05231567646287]","[20, 15]","[30, 25]","[50, 63]","[60, 16]","[70, 35]"
"[22.423121853440236, 32.58057037078644]","[58.83066551771243, 40.95422723676796]","[20, 17]","[30, 26]","[50, 60]","[60, 15]","[70, 35]"
"[22.743674356545693, 32.65345676122247]","[59.53146545704496, 38.0356734839616]","[20, 19]","[30, 26]","[50, 60]","[60, 17]","[70, 32]"
"[22.309812665338182, 34.60583065250044]","[59.06601217921974, 37.904490541829595]","[20, 17]","[30, 28]","[50, 56]","[60, 16]","[70, 32]"
"[22.18859444907703, 30.464478389644718]","[59.09378335377496, 39.98946086806082]","[20, 15]","[30, 24]","[50, 61]","[60, 15]","[70, 34]"
"[22.37225473341619, 30.510981647729988]","[59.4462299111272, 39.048948963846925]","[20, 16]","[30, 24]","[50, 63]","[60, 15]","[70, 33]"
"[22.129718997102614, 31.481124130897612]","[59.36402129448797, 40.06218329278573]","[20, 15]","[30, 25]","[50, 64]","[60, 15]","[70, 34]"
"[22.196610656165948, 33.55457463726022]","[58.51169101289876, 39.826137920917986]","[20, 16]","[30, 27]","[50, 56]","[60, 14]","[70, 34]"
"[22.25229252566661, 32.54036768256942]","[58.96812158397661, 37.8761159108891]","[20, 16]","[30, 26]","[50, 57]","[60, 14]","[70, 32]"
"[22.25229252566661, 32.54036768256942]","[59.441449332272875, 38.01078143088814]","[20, 16]","[30, 26]","[50, 62]","[60, 14]","[70, 32]"
"[21.940219557749188, 31.4331423693997]","[59.18532066758107, 40.01431261286967]","[20, 14]","[30, 25]","[50, 62]","[60, 15]","[70, 34]"
"[22.48391534805317, 31.56756357811343]","[58.81000507024987, 39.91098236316466]","[20, 17]","[30, 25]","[50, 57]","[60, 16]","[70, 34]"
"[22.129718997102614, 31.481124130897612]","[59.07996862589575, 38.94811182349518]","[20, 15]","[30, 25]","[50, 59]","[60, 15]","[70, 33]"
"[22.48391534805317, 31.56756357811343]","[59.07996862589575, 38.94811182349518]","[20, 17]","[30, 25]","[50, 59]","[60, 15]","[70, 33]"
"[22.547729366713366, 30.55431469688763]","[58.90616133628809, 39.937817342057976]","[20, 17]","[30, 24]","[50, 57]","[60, 17]","[70, 34]"
"[22.25229252566661, 32.54036768256942]","[58.78885166586314, 38.86531428726893]","[20, 16]","[30, 26]","[50, 57]","[60, 14]","[70, 33]"
"[22.423121853440236, 32.58057037078644]","[59.436973192333944, 36.97059633829419]","[20, 17]","[30, 26]","[50, 58]","[60, 16]","[70, 31]"
"[22.586774366213653, 32.61819399080856]","[58.712232454771176, 39.88344400102553]","[20, 18]","[30, 26]","[50, 58]","[60, 14]","[70, 34]"
"[21.887184573959228, 32.45126694249497]","[58.75791711423065, 41.970441272928774]","[20, 14]","[30, 26]","[50, 60]","[60, 16]","[70, 36]"
"[21.996184885018117, 30.414493748656803]","[58.33808789505389, 40.81669150761011]","[20, 14]","[30, 24]","[50, 56]","[60, 14]","[70, 35]"
"[22.61479077963123, 29.540839254672456]","[58.638517890766494, 40.9013352335668]","[20, 17]","[30, 23]","[50, 57]","[60, 16]","[70, 35]"
"[22.310772487265474, 31.5258351320049]","[59.18532066758107, 40.01431261286967]","[20, 16]","[30, 25]","[50, 60]","[60, 17]","[70, 34]"
"[22.649636297550938, 31.606560296530763]","[59.45125202501745, 40.08523963904611]","[20, 18]","[30, 25]","[50, 64]","[60, 16]","[70, 34]"
"[22.25229252566661, 32.54036768256942]","[58.61280931721373, 39.85516575725708]","[20, 16]","[30, 26]","[50, 57]","[60, 14]","[70, 34]"
"[21.970098411079306, 34.52858457781759]","[58.439909731144056, 40.845646212093946]","[20, 15]","[30, 28]","[50, 56]","[60, 15]","[70, 35]"
"[22.196610656165948, 33.55457463726022]","[58.439909731144056, 40.845646212093946]","[20, 16]","[30, 27]","[50, 56]","[60, 15]","[70, 35]"
"[22.469370432255936, 34.640899754942986]","[59.441449332272875, 38.01078143088814]","[20, 18]","[30, 28]","[50, 60]","[60, 16]","[70, 32]"
"[22.310772487265474, 31.5258351320049]","[59.53146545704496, 38.0356734839616]","[20, 16]","[30, 25]","[50, 61]","[60, 16]","[70, 32]"
"[22.423121853440236, 32.58057037078644]","[58.98455583317135, 38.92123444881836]","[20, 17]","[30, 26]","[50, 57]","[60, 16]","[70, 33]"
"[22.07381604629584, 32.497355354520295]","[59.34993198708654, 37.98524108983638]","[20, 15]","[30, 26]","[50, 60]","[60, 15]","[70, 32]"
"[22.07381604629584, 32.497355354520295]","[59.266103777002776, 38.99982015256277]","[20, 15]","[30, 26]","[50, 59]","[60, 17]","[70, 33]"
"[22.37225473341619, 30.510981647729988]","[58.90616133628809, 39.937817342057976]","[20, 16]","[30, 24]","[50, 58]","[60, 16]","[70, 34]"
"[22.25229252566661, 32.54036768256942]","[58.924411739946805, 40.979676015570085]","[20, 16]","[30, 26]","[50, 60]","[60, 16]","[70, 35]"
"[22.25229252566661, 32.54036768256942]","[59.266103777002776, 38.99982015256277]","[20, 16]","[30, 26]","[50, 61]","[60, 15]","[70, 33]"
"[22.25229252566661, 32.54036768256942]","[59.356901032652225, 39.0246963412779]","[20, 16]","[30, 26]","[50, 63]","[60, 14]","[70, 33]"
"[22.25229252566661, 32.54036768256942]","[59.4462299111272, 39.048948963846925]","[20, 16]","[30, 26]","[50, 63]","[60, 15]","[70, 33]"
"[22.43696963755198, 29.49581448350922]","[58.638517890766494, 40.9013352335668]","[20, 16]","[30, 23]","[50, 57]","[60, 16]","[70, 35]"
"[22.129718997102614, 31.481124130897612]","[58.90616133628809, 39.937817342057976]","[20, 15]","[30, 25]","[50, 60]","[60, 14]","[70, 34]"
